stop_id,stop_name,stop_lat,stop_lon,route_type,wheelchair_boarding
RCAS3,René Cassin,47.2648455,-1.57378312,3,1
SJBO2,St-Jean-de-Boiseau,47.19581382,-1.72490916,3,1
RZEE1,Razée,47.21482578,-1.46615871,3,1
BRLA1,Brouillard,47.2740044,-1.51439208,3,1
CBTE1,Choblèterie,47.13620886,-1.46142133,3,2
BVER1,Bouvernière,47.23762328,-1.61163942,3,1
POEC1,Portechaise,47.20081423,-1.52547341,3,1
LFAU2,Les Faulx,47.15720883,-1.52275962,3,1
GMOL2,Guy Mollet,47.2492274,-1.55409504,3,1
HFLE2,Hameau Fleuri,47.25101457,-1.58961707,3,1
LSYY1,Léon Say,47.22965417,-1.56922558,3,2
ANGE2,Les Anges,47.27515795,-1.63710377,3,1
PTGO2,Poitou,47.2097897,-1.46918162,3,2
SJAC4,St-Jacques,47.19390885,-1.5376255,3,1
PLTI1,Platière,47.19461767,-1.5588317,3,2
BAIR2,Bel Air,47.22545539,-1.559241,3,1
BGCY2,Beaugency,47.20381536,-1.49018924,3,1
LNAI2,Le Nain,47.22707577,-1.60048552,3,1
ROET2,Rouet,47.1486198,-1.52228473,3,1
SUCO2,Surcouf,47.26883011,-1.44582637,3,1
CARQ1,Carquefou,47.30370254,-1.48536605,3,2
CXFS1,Croix des Fosses,47.21318784,-1.46642296,3,1
PTL98,CES Petite Lande,47.17778377,-1.55012242,3,1
CZIN2,Chézine,47.23373473,-1.59932012,3,2
LONG1,Longchamp,47.23511719,-1.58256138,0,1
AIBU3,Airbus,47.15798334,-1.59127862,3,2
ECBU1,Écobuts,47.19393189,-1.50779579,3,2
PMTR2,Pont de la Métairie,47.26240332,-1.44624344,3,1
CHAB2,Chabossière,47.21532409,-1.68216819,3,2
ERDI2,Éraudière,47.24166754,-1.53500998,3,2
AMCA2,Armoricaine,47.25826258,-1.64752203,3,1
CALI1,Californie,47.1918853,-1.58422921,3,2
JALI3,Jalière,47.26390431,-1.596195,3,2
ALNE1,Aulne,47.27698152,-1.63902208,3,1
JDGA2,Jardins de Gaïa,47.15756688,-1.67822907,3,2
PRDI1,Praudière,47.25683743,-1.58379258,3,2
BAS98,Bastille,47.17940962,-1.59717695,3,2
BSAN2,Bobby Sands,47.22989006,-1.65301973,3,1
BCTT1,Blanchet,47.17164754,-1.54336364,3,1
BULA2,Butte des Landes,47.16077942,-1.49378527,3,2
BLDR1,Boulodrome,47.25762261,-1.51534316,3,1
FLUR2,Fleurs,47.21586059,-1.7179979,3,1
